Part Designator,Quantity,LCSC Part Number,Description,Value,Package
U1,1,C2966380,NPM1100 Power Management IC,QFN24,QFN-24
C1,1,C2836892,Ceramic Capacitor,10uF,0805
C2,1,C14663,Ceramic Capacitor,100nF,0402
C3,1,C14663,Ceramic Capacitor,100nF,0402
C4,1,C14663,Ceramic Capacitor,100nF,0402
C5,1,C2836892,Ceramic Capacitor,10uF,0805
R1,1,C257739,Resistor,100kΩ,0402
R2,1,C257731,Resistor,10kΩ,0402
R3,1,C257731,Resistor,10kΩ,0402
R4,1,C270785,Resistor,1kΩ,0402
R5,1,C270785,Resistor,1kΩ,0402
R6,1,C270785,Resistor,1kΩ,0402
R7,1,C270785,Resistor,1kΩ,0402
D1,1,C72038,Green LED,Green,0402
D2,1,C72037,Red LED,Red,0402
J1,1,C165948,2-pin Header,8V Input,2.54mm
J2,1,C166006,4-pin Header,MCU Interface,2.54mm
J3,1,C165948,2-pin Header,Battery Connector,2.54mm
L1,1,C5130057,Power Inductor,2.2uH,4x4mm
Q1,1,C4246567,MOSFET,N-channel,SOT-23
